sequence,method,z,value,strain_energy,left_derivative
variable_base_tetration,hermite_cubic,0.5,0.7511271654889904,1.338276172692753,0.39301424262877516
variable_base_tetration,hermite_cubic,1.5,1.3560226017790873,1.338276172692753,0.39301424262877516
variable_base_tetration,hermite_cubic,2.5,3.4643012131670297,1.338276172692753,0.39301424262877516
variable_base_tetration,hermite_cubic,3.5,76.70357148028403,1.338276172692753,0.39301424262877516
fixed_base_tetration,hermite_cubic,0.5,1.185081003812305,0.008993636703565691,0.1452392204270325
fixed_base_tetration,hermite_cubic,1.5,1.3646840080446423,0.008993636703565691,0.1452392204270325
fixed_base_tetration,hermite_cubic,2.5,1.4305290144006957,0.008993636703565691,0.1452392204270325
fixed_base_tetration,hermite_cubic,3.5,1.4554566390581216,0.008993636703565691,0.1452392204270325
factorial_type,hermite_cubic,0.5,0.8928571428571427,1.7142857142857153,0.28571428571428686
factorial_type,hermite_cubic,1.5,1.339285714285714,1.7142857142857153,0.28571428571428686
factorial_type,hermite_cubic,2.5,3.3482142857142847,1.7142857142857153,0.28571428571428686
factorial_type,hermite_cubic,3.5,11.718749999999996,1.7142857142857153,0.28571428571428686
