degree,constraint_order,regularization,feasible,eval_point,estimate,truth,abs_error,log10_abs_error,strain_energy,elapsed_ms,schur_condition_number,log10_schur_condition_number,constraint_count,status
4,1,1e-14,1,1.5,1.3392872181375781,1.329340388179137,0.009946829958441095,-2.002315306280847,1.7142680460659492,4.254959000000058,42335353925198.17,13.626703194841536,3.0,ok
4,2,1e-14,1,1.5,1.3069126730590175,1.329340388179137,0.02242771512011954,-1.6492149690059423,2.1005295388772702,0.5604999999999638,54824772606405.08,13.738976839054745,4.0,ok
4,3,1e-14,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
4,4,1e-14,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
4,5,1e-14,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
4,6,1e-14,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
4,7,1e-14,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
4,8,1e-14,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
6,1,1e-14,1,1.5,1.3392854745182372,1.329340388179137,0.009945086339100184,-2.002391442159252,1.7142858647739112,0.4863750000001499,18243676473256.883,13.261112362016329,3.0,ok
6,2,1e-14,1,1.5,1.3323110877003013,1.329340388179137,0.002970699521164244,-2.5271412737768686,1.8155199598200509,0.556082999999985,57446091835826.52,13.759260488170193,4.0,ok
6,3,1e-14,1,1.5,1.3298838879104293,1.329340388179137,0.0005434997312923073,-3.2648006662939646,1.8497388486500352,0.46320799999999274,128756447813250.05,14.109768986680987,5.0,ok
6,4,1e-14,1,1.5,1.3081039180838778,1.329340388179137,0.021236470095259197,-1.6729176695845367,1.9956642009752552,0.6625000000000103,365578384779829.25,14.562980509686632,6.0,ok
6,5,1e-14,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
6,6,1e-14,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
6,7,1e-14,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
6,8,1e-14,0,1.5,,1.329340388179137,,,,,,,,skipped_infeasible
8,1,1e-14,1,1.5,1.3392858574483057,1.329340388179137,0.009945469269168727,-2.002374720211508,1.7142851502897305,0.44695900000002453,10100401424334.992,13.00433863446672,3.0,ok
8,2,1e-14,1,1.5,1.335658044621225,1.329340388179137,0.006317656442087927,-2.1994439949807734,1.7614172846775582,0.5593750000001396,61821361521544.8,13.791138565508628,4.0,ok
