run_id,sequence_code,sequence,degree,constraint_order,lambda_energy,lambda_residual,z,value,truth,abs_error,status
A_deg6_ord4_le1_lr0.1,A,variable_base_tetration,6,4,1.0,0.1,0.5,0.9459348609448811,,,ok
A_deg6_ord4_le1_lr0.1,A,variable_base_tetration,6,4,1.0,0.1,1.5,1.4674755046007888,,,ok
A_deg6_ord4_le1_lr0.1,A,variable_base_tetration,6,4,1.0,0.1,2.5,3.8367828045253343,,,ok
A_deg6_ord4_le1_lr1,A,variable_base_tetration,6,4,1.0,1.0,0.5,0.8543204745050631,,,ok
A_deg6_ord4_le1_lr1,A,variable_base_tetration,6,4,1.0,1.0,1.5,1.4139640510338671,,,ok
A_deg6_ord4_le1_lr1,A,variable_base_tetration,6,4,1.0,1.0,2.5,3.6531951022682985,,,ok
A_deg6_ord4_le1_lr10,A,variable_base_tetration,6,4,1.0,10.0,0.5,0.7660458181577391,,,ok
A_deg6_ord4_le1_lr10,A,variable_base_tetration,6,4,1.0,10.0,1.5,1.3642500319110775,,,ok
A_deg6_ord4_le1_lr10,A,variable_base_tetration,6,4,1.0,10.0,2.5,3.4905162928920785,,,ok
A_deg6_ord4_le1_lr100,A,variable_base_tetration,6,4,1.0,100.0,0.5,0.7267690338067296,,,ok
A_deg6_ord4_le1_lr100,A,variable_base_tetration,6,4,1.0,100.0,1.5,1.3426959353385053,,,ok
A_deg6_ord4_le1_lr100,A,variable_base_tetration,6,4,1.0,100.0,2.5,3.422255515926379,,,ok
A_deg8_ord4_le1_lr0.1,A,variable_base_tetration,8,4,1.0,0.1,0.5,0.9521576696511244,,,ok
A_deg8_ord4_le1_lr0.1,A,variable_base_tetration,8,4,1.0,0.1,1.5,1.4711828137672784,,,ok
A_deg8_ord4_le1_lr0.1,A,variable_base_tetration,8,4,1.0,0.1,2.5,3.8498384144550406,,,ok
A_deg8_ord4_le1_lr1,A,variable_base_tetration,8,4,1.0,1.0,0.5,0.8555095487959447,,,ok
A_deg8_ord4_le1_lr1,A,variable_base_tetration,8,4,1.0,1.0,1.5,1.4146459272486689,,,ok
A_deg8_ord4_le1_lr1,A,variable_base_tetration,8,4,1.0,1.0,2.5,3.655478320281658,,,ok
A_deg8_ord4_le1_lr10,A,variable_base_tetration,8,4,1.0,10.0,0.5,0.7709339462383055,,,ok
A_deg8_ord4_le1_lr10,A,variable_base_tetration,8,4,1.0,10.0,1.5,1.3669566095304289,,,ok
A_deg8_ord4_le1_lr10,A,variable_base_tetration,8,4,1.0,10.0,2.5,3.4991835581603246,,,ok
A_deg8_ord4_le1_lr100,A,variable_base_tetration,8,4,1.0,100.0,0.5,0.746827300947549,,,ok
A_deg8_ord4_le1_lr100,A,variable_base_tetration,8,4,1.0,100.0,1.5,1.3536605105847412,,,ok
A_deg8_ord4_le1_lr100,A,variable_base_tetration,8,4,1.0,100.0,2.5,3.4568113186783953,,,ok
A_deg10_ord4_le1_lr0.1,A,variable_base_tetration,10,4,1.0,0.1,0.5,0.9522070866585929,,,ok
A_deg10_ord4_le1_lr0.1,A,variable_base_tetration,10,4,1.0,0.1,1.5,1.4712122919647364,,,ok
A_deg10_ord4_le1_lr0.1,A,variable_base_tetration,10,4,1.0,0.1,2.5,3.8499424023015227,,,ok
A_deg10_ord4_le1_lr1,A,variable_base_tetration,10,4,1.0,1.0,0.5,0.8559159928040508,,,ok
A_deg10_ord4_le1_lr1,A,variable_base_tetration,10,4,1.0,1.0,1.5,1.4148790785010015,,,ok
A_deg10_ord4_le1_lr1,A,variable_base_tetration,10,4,1.0,1.0,2.5,3.656259339372701,,,ok
A_deg10_ord4_le1_lr10,A,variable_base_tetration,10,4,1.0,10.0,0.5,0.7711911548589796,,,ok
A_deg10_ord4_le1_lr10,A,variable_base_tetration,10,4,1.0,10.0,1.5,1.3670991756678583,,,ok
A_deg10_ord4_le1_lr10,A,variable_base_tetration,10,4,1.0,10.0,2.5,3.499640693470896,,,ok
A_deg10_ord4_le1_lr100,A,variable_base_tetration,10,4,1.0,100.0,0.5,0.7495239686802091,,,ok
A_deg10_ord4_le1_lr100,A,variable_base_tetration,10,4,1.0,100.0,1.5,1.3551414187821245,,,ok
A_deg10_ord4_le1_lr100,A,variable_base_tetration,10,4,1.0,100.0,2.5,3.461505196660081,,,ok
A_deg12_ord4_le1_lr0.1,A,variable_base_tetration,12,4,1.0,0.1,0.5,0.9517423921806536,,,ok
A_deg12_ord4_le1_lr0.1,A,variable_base_tetration,12,4,1.0,0.1,1.5,1.4709351160878386,,,ok
A_deg12_ord4_le1_lr0.1,A,variable_base_tetration,12,4,1.0,0.1,2.5,3.8489647423896867,,,ok
A_deg12_ord4_le1_lr1,A,variable_base_tetration,12,4,1.0,1.0,0.5,0.8567477876862281,,,ok
A_deg12_ord4_le1_lr1,A,variable_base_tetration,12,4,1.0,1.0,1.5,1.4153563464762224,,,ok
A_deg12_ord4_le1_lr1,A,variable_base_tetration,12,4,1.0,1.0,2.5,3.657858630567304,,,ok
A_deg12_ord4_le1_lr10,A,variable_base_tetration,12,4,1.0,10.0,0.5,0.7728989437814292,,,ok
A_deg12_ord4_le1_lr10,A,variable_base_tetration,12,4,1.0,10.0,1.5,1.3680461497066536,,,ok
A_deg12_ord4_le1_lr10,A,variable_base_tetration,12,4,1.0,10.0,2.5,3.5026786619094756,,,ok
A_deg12_ord4_le1_lr100,A,variable_base_tetration,12,4,1.0,100.0,0.5,0.7514482004872521,,,ok
A_deg12_ord4_le1_lr100,A,variable_base_tetration,12,4,1.0,100.0,1.5,1.3561991246825527,,,ok
A_deg12_ord4_le1_lr100,A,variable_base_tetration,12,4,1.0,100.0,2.5,3.464861596390496,,,ok
B_deg6_ord4_le1_lr0.1,B,fixed_base_tetration,6,4,1.0,0.1,0.5,1.154500048694992,,,ok
B_deg6_ord4_le1_lr0.1,B,fixed_base_tetration,6,4,1.0,0.1,1.5,1.3537784788275886,,,ok
B_deg6_ord4_le1_lr0.1,B,fixed_base_tetration,6,4,1.0,0.1,2.5,1.4264418045206653,,,ok
B_deg6_ord4_le1_lr1,B,fixed_base_tetration,6,4,1.0,1.0,0.5,1.1641906356892398,,,ok
B_deg6_ord4_le1_lr1,B,fixed_base_tetration,6,4,1.0,1.0,1.5,1.3572247907121486,,,ok
B_deg6_ord4_le1_lr1,B,fixed_base_tetration,6,4,1.0,1.0,2.5,1.4277321609026106,,,ok
B_deg6_ord4_le1_lr10,B,fixed_base_tetration,6,4,1.0,10.0,0.5,1.184303751173956,,,ok
B_deg6_ord4_le1_lr10,B,fixed_base_tetration,6,4,1.0,10.0,1.5,1.3644057455284564,,,ok
